"SubjID","Group","Resp","SignalStrength","n_trials","q1","q3","q5","q7","q9","GroupName","RespName"
1,1,2,-1.54761952581789,11,0.542,0.801,0.844,0.891,1.385,"Control","NotLookingAtMe"
1,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
1,1,1,-1.16071464436341,1,1.315,1.315,1.315,1.315,1.315,"Control","LookingAtMe"
1,1,2,-1.16071464436341,11,0.714,0.729,0.808,0.822,0.943,"Control","NotLookingAtMe"
1,1,2,-0.773809762908943,12,0.6612,0.7037,0.7705,0.8232,1.1168,"Control","NotLookingAtMe"
1,1,1,-0.773809762908943,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
1,1,2,-0.386904881454471,12,0.6781,0.7039,0.711,0.7978,1.0334,"Control","NotLookingAtMe"
1,1,1,-0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
1,1,2,0,12,0.6427,0.7486,0.8015,0.807,0.9147,"Control","NotLookingAtMe"
1,1,1,0,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
1,1,2,0.386904881454471,12,0.6444,0.6989,0.7175,0.7672,0.8093,"Control","NotLookingAtMe"
1,1,1,0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
1,1,2,0.773809762908943,12,0.7537,0.8151,0.8835,0.9941,1.0941,"Control","NotLookingAtMe"
1,1,1,0.773809762908943,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
1,1,1,1.16071464436341,3,1.023,1.051,1.079,1.0802,1.0814,"Control","LookingAtMe"
1,1,2,1.16071464436341,9,0.8172,0.944,1.007,1.0266,1.1224,"Control","NotLookingAtMe"
1,1,1,1.54761952581789,6,1.094,1.1205,1.171,1.233,1.2655,"Control","LookingAtMe"
1,1,2,1.54761952581789,5,0.7742,0.8576,0.86,0.8992,1.203,"Control","NotLookingAtMe"
2,1,1,-1.54761952581789,2,0.9986,1.0058,1.013,1.0202,1.0274,"Control","LookingAtMe"
2,1,2,-1.54761952581789,10,0.5552,0.5795,0.676,0.7986,0.9111,"Control","NotLookingAtMe"
2,1,2,-1.16071464436341,12,0.6201,0.6529,0.6945,0.7418,0.9422,"Control","NotLookingAtMe"
2,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
2,1,2,-0.773809762908943,12,0.6458,0.7022,0.7485,1.015,1.1036,"Control","NotLookingAtMe"
2,1,1,-0.773809762908943,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
2,1,2,-0.386904881454471,11,0.731,0.869,0.931,1.031,1.097,"Control","NotLookingAtMe"
2,1,1,-0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
2,1,2,0,12,0.69,0.7036,0.7195,0.7423,0.8109,"Control","NotLookingAtMe"
2,1,1,0,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
2,1,2,0.386904881454471,12,0.7047,0.7464,0.867,0.9077,1.1546,"Control","NotLookingAtMe"
2,1,1,0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
2,1,1,0.773809762908943,1,0.995,0.995,0.995,0.995,0.995,"Control","LookingAtMe"
2,1,2,0.773809762908943,10,0.8993,0.9993,1.0975,1.1355,1.2573,"Control","NotLookingAtMe"
2,1,1,1.16071464436341,7,0.9496,1.0316,1.169,1.3366,1.413,"Control","LookingAtMe"
2,1,2,1.16071464436341,3,0.9308,0.9604,0.99,1.1608,1.3316,"Control","NotLookingAtMe"
2,1,1,1.54761952581789,11,0.87,0.965,1.166,1.175,1.383,"Control","LookingAtMe"
2,1,2,1.54761952581789,1,0.662,0.662,0.662,0.662,0.662,"Control","NotLookingAtMe"
3,1,2,-1.54761952581789,12,0.7745,0.8088,0.8665,0.9838,1.155,"Control","NotLookingAtMe"
3,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
3,1,2,-1.16071464436341,11,0.774,0.838,0.904,0.925,1.175,"Control","NotLookingAtMe"
3,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
3,1,2,-0.773809762908943,12,0.7797,0.891,1.0405,1.0826,1.2514,"Control","NotLookingAtMe"
3,1,1,-0.773809762908943,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
3,1,1,-0.386904881454471,1,1.431,1.431,1.431,1.431,1.431,"Control","LookingAtMe"
3,1,2,-0.386904881454471,11,0.726,0.836,0.947,1.103,1.162,"Control","NotLookingAtMe"
3,1,1,0,1,0.974,0.974,0.974,0.974,0.974,"Control","LookingAtMe"
3,1,2,0,10,0.7237,0.8643,0.906,0.9913,1.1382,"Control","NotLookingAtMe"
3,1,1,0.386904881454471,5,0.8278,0.884,0.96,1.0712,1.1524,"Control","LookingAtMe"
3,1,2,0.386904881454471,6,0.781,0.8905,1.0555,1.161,1.21,"Control","NotLookingAtMe"
3,1,1,0.773809762908943,8,0.8172,0.8898,0.926,1.1674,1.2745,"Control","LookingAtMe"
3,1,2,0.773809762908943,4,1.0057,1.0231,1.0365,1.0548,1.1016,"Control","NotLookingAtMe"
3,1,1,1.16071464436341,11,0.862,0.949,1.027,1.115,1.177,"Control","LookingAtMe"
3,1,2,1.16071464436341,1,0.904,0.904,0.904,0.904,0.904,"Control","NotLookingAtMe"
3,1,1,1.54761952581789,12,0.7672,0.8373,0.9845,1.0307,1.0925,"Control","LookingAtMe"
3,1,2,1.54761952581789,0,NA,NA,NA,NA,NA,"Control","NotLookingAtMe"
4,1,2,-1.54761952581789,12,0.6895,0.7109,0.8335,0.8965,1.0176,"Control","NotLookingAtMe"
4,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
4,1,2,-1.16071464436341,12,0.6224,0.7091,0.78,0.8532,0.9091,"Control","NotLookingAtMe"
4,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
4,1,1,-0.773809762908943,1,0.692,0.692,0.692,0.692,0.692,"Control","LookingAtMe"
4,1,2,-0.773809762908943,11,0.646,0.698,0.721,0.844,0.99,"Control","NotLookingAtMe"
4,1,1,-0.386904881454471,1,1.2,1.2,1.2,1.2,1.2,"Control","LookingAtMe"
4,1,2,-0.386904881454471,11,0.609,0.649,0.734,0.792,0.91,"Control","NotLookingAtMe"
4,1,2,0,12,0.7533,0.8525,0.9255,0.9653,1.0064,"Control","NotLookingAtMe"
4,1,1,0,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
4,1,1,0.386904881454471,1,0.643,0.643,0.643,0.643,0.643,"Control","LookingAtMe"
4,1,2,0.386904881454471,11,0.639,0.727,0.743,0.927,1.255,"Control","NotLookingAtMe"
4,1,1,0.773809762908943,3,0.7736,0.8148,0.856,1.0208,1.1856,"Control","LookingAtMe"
4,1,2,0.773809762908943,9,0.7408,0.8176,0.927,1.0766,1.2412,"Control","NotLookingAtMe"
4,1,1,1.16071464436341,9,0.823,0.847,0.913,1.007,1.1548,"Control","LookingAtMe"
4,1,2,1.16071464436341,3,0.6118,0.6134,0.615,0.6834,0.7518,"Control","NotLookingAtMe"
4,1,1,1.54761952581789,9,0.6846,0.759,0.919,0.9436,1.1726,"Control","LookingAtMe"
4,1,2,1.54761952581789,3,0.7632,0.9056,1.048,1.14,1.232,"Control","NotLookingAtMe"
5,1,2,-1.54761952581789,12,0.7008,0.7824,0.8545,0.925,1.1626,"Control","NotLookingAtMe"
5,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
5,1,2,-1.16071464436341,12,0.7696,0.8211,0.925,0.9987,1.0769,"Control","NotLookingAtMe"
5,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
5,1,2,-0.773809762908943,12,0.8218,0.8524,0.9295,1.0311,1.2582,"Control","NotLookingAtMe"
