"SubjID","Group","Jitter","censored","Resp","n_trials","q1","q3","q5","q7","q9","GroupName","RespName","DirectionName","CensorName","Accuracy"
1,1,-1.91004251319886,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
1,1,0.596888285374645,0,NA,2,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
1,1,-1.91004251319886,1,1,1,0.00158,0.00158,0.00158,0.00158,0.00158,"Control","Right","Left","NotCensored",0
1,1,-1.91004251319886,1,2,18,0.0008975,0.0011574,0.0012185,0.001308,0.0013779,"Control","Left","Left","NotCensored",1
1,1,-1.07439891367436,1,1,6,0.000973,0.001062,0.001094,0.0011295,0.001232,"Control","Right","Left","NotCensored",0
1,1,-1.07439891367436,1,2,14,0.0008889,0.0009495,0.0010325,0.0011279,0.0012708,"Control","Left","Left","NotCensored",1
1,1,-0.835643599524503,1,1,5,0.0010118,0.0011962,0.001221,0.0013562,0.0014764,"Control","Right","Left","NotCensored",0
1,1,-0.835643599524503,1,2,15,0.0008734,0.0009252,0.001054,0.0012318,0.0013956,"Control","Left","Left","NotCensored",1
1,1,-0.596888285374645,1,1,5,0.0010528,0.0010894,0.001159,0.0011774,0.0013662,"Control","Right","Left","NotCensored",0
1,1,-0.596888285374645,1,2,15,0.0009024,0.0009912,0.001142,0.0011934,0.0014128,"Control","Left","Left","NotCensored",1
1,1,-0.358132971224787,1,1,4,0.0011144,0.0012272,0.0012695,0.0012979,0.0013273,"Control","Right","Left","NotCensored",0
1,1,-0.358132971224787,1,2,16,0.001051,0.0011275,0.001323,0.001572,0.0017885,"Control","Left","Left","NotCensored",1
1,1,-0.119377657074929,1,1,8,0.001177,0.001233,0.001295,0.0013453,0.0015496,"Control","Right","Left","NotCensored",0
1,1,-0.119377657074929,1,2,12,0.0008525,0.0009732,0.001035,0.0011381,0.0012535,"Control","Left","Left","NotCensored",1
1,1,0.119377657074929,1,1,10,0.0010878,0.0012574,0.001369,0.001425,0.0015303,"Control","Right","Right","NotCensored",1
1,1,0.119377657074929,1,2,10,0.0008615,0.0010676,0.001192,0.0012792,0.0015673,"Control","Left","Right","NotCensored",0
1,1,0.358132971224787,1,1,14,0.0010638,0.0011501,0.0012635,0.0013587,0.0016622,"Control","Right","Right","NotCensored",1
1,1,0.358132971224787,1,2,6,0.0009895,0.001064,0.001145,0.0011885,0.0012835,"Control","Left","Right","NotCensored",0
1,1,0.596888285374645,1,1,7,0.000948,0.001024,0.001187,0.0012042,0.0012534,"Control","Right","Right","NotCensored",1
1,1,0.596888285374645,1,2,11,0.000933,0.001028,0.001118,0.001308,0.001488,"Control","Left","Right","NotCensored",0
1,1,0.835643599524503,1,1,15,0.000849,0.0009926,0.001135,0.0012694,0.0014682,"Control","Right","Right","NotCensored",1
1,1,0.835643599524503,1,2,5,0.0008974,0.0010956,0.001178,0.0012708,0.0013852,"Control","Left","Right","NotCensored",0
1,1,1.07439891367436,1,1,14,0.0009205,0.0009624,0.000999,0.0010636,0.001396,"Control","Right","Right","NotCensored",1
1,1,1.07439891367436,1,2,6,0.000716,0.000761,0.0009195,0.001098,0.0013195,"Control","Left","Right","NotCensored",0
1,1,1.91004251319886,1,1,14,0.0009546,0.0010108,0.0011365,0.0013265,0.0013879,"Control","Right","Right","NotCensored",1
1,1,1.91004251319886,1,2,6,0.0009355,0.001008,0.0010655,0.001103,0.0012585,"Control","Left","Right","NotCensored",0
2,1,-1.07439891367436,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
2,1,-0.835643599524503,0,NA,2,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
2,1,-0.596888285374645,0,NA,4,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
2,1,-0.358132971224787,0,NA,5,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
2,1,-0.119377657074929,0,NA,3,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
2,1,0.119377657074929,0,NA,8,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
2,1,0.358132971224787,0,NA,5,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
2,1,0.596888285374645,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
2,1,0.835643599524503,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
2,1,1.07439891367436,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
2,1,-1.91004251319886,1,2,20,0.0007859,0.0009616,0.001005,0.0011023,0.0013072,"Control","Left","Left","NotCensored",1
2,1,-1.07439891367436,1,1,1,0.001411,0.001411,0.001411,0.001411,0.001411,"Control","Right","Left","NotCensored",0
2,1,-1.07439891367436,1,2,18,0.0008991,0.0010114,0.0011865,0.0014138,0.0016735,"Control","Left","Left","NotCensored",1
2,1,-0.835643599524503,1,1,6,0.0012415,0.001301,0.001485,0.001669,0.0018075,"Control","Right","Left","NotCensored",0
2,1,-0.835643599524503,1,2,12,0.0009751,0.0010122,0.001091,0.0012861,0.0015757,"Control","Left","Left","NotCensored",1
2,1,-0.596888285374645,1,1,5,0.0014358,0.0017274,0.001833,0.001869,0.0019338,"Control","Right","Left","NotCensored",0
2,1,-0.596888285374645,1,2,11,0.001035,0.001156,0.00123,0.001565,0.001846,"Control","Left","Left","NotCensored",1
2,1,-0.358132971224787,1,1,5,0.0009328,0.0011178,0.001253,0.001345,0.0015936,"Control","Right","Left","NotCensored",0
2,1,-0.358132971224787,1,2,10,0.0012441,0.0013655,0.001618,0.0017683,0.0018342,"Control","Left","Left","NotCensored",1
2,1,-0.119377657074929,1,1,10,0.0012704,0.0016116,0.001717,0.0017808,0.0019249,"Control","Right","Left","NotCensored",0
2,1,-0.119377657074929,1,2,7,0.001057,0.0015162,0.001652,0.0016828,0.0018272,"Control","Left","Left","NotCensored",1
2,1,0.119377657074929,1,1,8,0.001179,0.001282,0.0016585,0.0017551,0.0017823,"Control","Right","Right","NotCensored",1
2,1,0.119377657074929,1,2,4,0.0013164,0.0013692,0.0014185,0.0014928,0.0016956,"Control","Left","Right","NotCensored",0
2,1,0.358132971224787,1,1,9,0.001285,0.0014966,0.001546,0.0016046,0.0016496,"Control","Right","Right","NotCensored",1
2,1,0.358132971224787,1,2,6,0.001364,0.0016415,0.001695,0.0017755,0.0018455,"Control","Left","Right","NotCensored",0
2,1,0.596888285374645,1,1,14,0.0012191,0.0013378,0.0014275,0.0016794,0.0017497,"Control","Right","Right","NotCensored",1
2,1,0.596888285374645,1,2,5,0.0014218,0.001562,0.001662,0.0017404,0.0018014,"Control","Left","Right","NotCensored",0
2,1,0.835643599524503,1,1,14,0.0008774,0.0009263,0.0010175,0.0011071,0.0012988,"Control","Right","Right","NotCensored",1
2,1,0.835643599524503,1,2,5,0.0012256,0.0013408,0.0016,0.0016704,0.00173,"Control","Left","Right","NotCensored",0
2,1,1.07439891367436,1,1,17,0.0008854,0.0009816,0.001046,0.0013966,0.0016218,"Control","Right","Right","NotCensored",1
2,1,1.07439891367436,1,2,2,0.0012702,0.0013146,0.001359,0.0014034,0.0014478,"Control","Left","Right","NotCensored",0
2,1,1.91004251319886,1,1,20,0.0006829,0.0008157,0.0008525,0.000953,0.001189,"Control","Right","Right","NotCensored",1
2,1,-1.91004251319886,NA,1,0,NA,NA,NA,NA,NA,"Control","Right","Left",NA,0
2,1,1.91004251319886,NA,2,0,NA,NA,NA,NA,NA,"Control","Left","Right",NA,0
3,1,0.358132971224787,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
3,1,-1.91004251319886,1,1,4,0.0007552,0.0009196,0.001057,0.0011671,0.0011677,"Control","Right","Left","NotCensored",0
3,1,-1.91004251319886,1,2,16,0.000789,0.000897,0.001025,0.0012575,0.001338,"Control","Left","Left","NotCensored",1
3,1,-1.07439891367436,1,1,10,0.000645,0.0006976,0.0010755,0.0013652,0.0014263,"Control","Right","Left","NotCensored",0
3,1,-1.07439891367436,1,2,10,0.0007316,0.0008482,0.0009515,0.0010395,0.0015176,"Control","Left","Left","NotCensored",1
3,1,-0.835643599524503,1,1,8,0.0005495,0.0006334,0.0007075,0.000787,0.0009278,"Control","Right","Left","NotCensored",0
3,1,-0.835643599524503,1,2,12,0.00076,0.0008322,0.0008975,0.0010838,0.0012376,"Control","Left","Left","NotCensored",1
3,1,-0.596888285374645,1,1,7,0.0006022,0.0008094,0.000941,0.0012044,0.0013752,"Control","Right","Left","NotCensored",0
3,1,-0.596888285374645,1,2,13,0.0007444,0.0008302,0.000874,0.0009318,0.0010818,"Control","Left","Left","NotCensored",1
3,1,-0.358132971224787,1,1,8,0.0007489,0.0008917,0.001111,0.0012691,0.0015013,"Control","Right","Left","NotCensored",0
3,1,-0.358132971224787,1,2,12,0.0007126,0.0007304,0.0007945,0.0012831,0.0016495,"Control","Left","Left","NotCensored",1
3,1,-0.119377657074929,1,1,13,0.000562,0.000626,0.000783,0.0008626,0.0010384,"Control","Right","Left","NotCensored",0
3,1,-0.119377657074929,1,2,7,0.0007232,0.0009056,0.000978,0.0011132,0.0012804,"Control","Left","Left","NotCensored",1
3,1,0.119377657074929,1,1,10,0.0005212,0.0006604,0.0008205,0.0009264,0.0011136,"Control","Right","Right","NotCensored",1
3,1,0.119377657074929,1,2,10,0.0007133,0.00102,0.001139,0.0011867,0.0014411,"Control","Left","Right","NotCensored",0
3,1,0.358132971224787,1,1,9,0.0005938,0.0006578,0.000684,0.0008614,0.0010078,"Control","Right","Right","NotCensored",1
3,1,0.358132971224787,1,2,9,0.0006688,0.0010068,0.001171,0.0012536,0.0013962,"Control","Left","Right","NotCensored",0
3,1,0.596888285374645,1,1,15,0.000664,0.0007288,0.000999,0.0011606,0.001588,"Control","Right","Right","NotCensored",1
3,1,0.596888285374645,1,2,5,0.0006872,0.0007326,0.000763,0.0008302,0.0008674,"Control","Left","Right","NotCensored",0
3,1,0.835643599524503,1,1,12,0.0007676,0.0009374,0.000961,0.0010256,0.0011209,"Control","Right","Right","NotCensored",1
3,1,0.835643599524503,1,2,8,0.0007287,0.0007638,0.0007905,0.0008496,0.0010337,"Control","Left","Right","NotCensored",0
3,1,1.07439891367436,1,1,14,0.0006018,0.0007452,0.0008765,0.0009975,0.0012078,"Control","Right","Right","NotCensored",1
3,1,1.07439891367436,1,2,6,0.0007955,0.001081,0.0011695,0.0013745,0.001597,"Control","Left","Right","NotCensored",0
3,1,1.91004251319886,1,1,12,0.0006867,0.0007679,0.00083,0.0009654,0.0011674,"Control","Right","Right","NotCensored",1
3,1,1.91004251319886,1,2,8,0.0008039,0.0009264,0.0012055,0.0012497,0.0013805,"Control","Left","Right","NotCensored",0
4,1,-1.91004251319886,0,NA,2,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
4,1,-1.07439891367436,0,NA,2,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
4,1,-0.835643599524503,0,NA,2,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
4,1,-0.596888285374645,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
4,1,-0.119377657074929,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
4,1,0.119377657074929,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
4,1,0.358132971224787,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
4,1,0.596888285374645,0,NA,3,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
4,1,-1.91004251319886,1,1,6,0.000925,0.0010135,0.0012775,0.0014595,0.001588,"Control","Right","Left","NotCensored",0
