sim,run,divergences,alpha_rhat1,beta_rhat1,ndt_rhat1,delta_rhat1,b1_rhat1,alpha_rhat2,beta_rhat2,ndt_rhat2,delta_rhat2,b1_rhat2,alpha_ess1,beta_ess1,ndt_ess1,delta_ess1,b1_ess1,alpha_ess2,beta_ess2,ndt_ess2,delta_ess2,b1_ess2,alpha_grp_gen1,beta_grp_gen1,ndt_grp_gen1,delta_grp_gen1,b1_grp_gen1,alpha_grp_gen2,beta_grp_gen2,ndt_grp_gen2,delta_grp_gen2,b1_grp_gen2,alpha_grp_sim_mean1,beta_grp_sim_mean1,ndt_grp_sim_mean1,delta_grp_sim_mean1,b1_grp_sim_mean1,alpha_grp_sim_mean2,beta_grp_sim_mean2,ndt_grp_sim_mean2,delta_grp_sim_mean2,b1_grp_sim_mean2,alpha_grp_sim_hdi_lo1,alpha_grp_sim_hdi_hi1,beta_grp_sim_hdi_lo1,beta_grp_sim_hdi_hi1,ndt_grp_sim_hdi_lo1,ndt_grp_sim_hdi_hi1,delta_grp_sim_hdi_lo1,delta_grp_sim_hdi_hi1,b1_grp_sim_hdi_lo1,b1_grp_sim_hdi_hi1,alpha_grp_sim_hdi_lo2,alpha_grp_sim_hdi_hi2,beta_grp_sim_hdi_lo2,beta_grp_sim_hdi_hi2,ndt_grp_sim_hdi_lo2,ndt_grp_sim_hdi_hi2,delta_grp_sim_hdi_lo2,delta_grp_sim_hdi_hi2,b1_grp_sim_hdi_lo2,b1_grp_sim_hdi_hi2,alpha_recover1,beta_recover1,ndt_recover1,delta_recover1,b1_recover1,alpha_recover2,beta_recover2,ndt_recover2,delta_recover2,b1_recover2
1,1,0,1.00295952044449,1.00415410221335,NA,1.00658080573674,1.00101324594454,1.01311690977364,1.00153441761063,NA,1.0082600635975,1.00095069013812,1357.68252417861,1446.03436751285,NA,1041.4083133165,2890.60110714256,857.835156506951,1833.39785975177,NA,671.839864226716,2816.78873489951,1.71614680802551,0.524058989579198,0.2,-1.61891843264049,0.4959758935,1.73369866560869,0.503842957053371,0.2,-0.92672482405907,0.3550663605,1.7262745075,0.51717564825,0.2,-1.5754785625,0.48737514775,1.6898695025,0.5073692195,0.2,-0.95272900475,0.36281916525,1.67003,1.78444,0.498395,0.536648,0.2,0.2,-1.75398616614162,-1.40671402168688,0.461464,0.515154,1.62477,1.75586,0.487362,0.525928,0.2,0.2,-1.12914,-0.762926,0.342312,0.38491,1,1,NA,1,1,1,1,NA,1,1
11,2,0,1.00223113201503,1.00330455342165,NA,1.00106354399722,1.00096224622746,1.00555701190388,1.00408666675283,NA,1.00470467040414,1.00200457667943,1489.01071179009,2133.7263702205,NA,1569.88476235782,1939.71169648842,1588.85248934964,1850.00761070691,NA,1012.46749459691,1633.70941780177,1.71614680802551,0.524058989579198,0.2,-1.61891843264049,0.4959758935,1.73369866560869,0.503842957053371,0.2,-0.92672482405907,0.3550663605,1.692349645,0.53565450025,0.2,-1.4672417225,0.487791285,1.78261585,0.506886483,0.2,-0.89479430625,0.36182139625,1.64325,1.74248,0.519251,0.552348,0.2,0.2,-1.59287365650056,-1.33438046042009,0.454337,0.5201,1.73205,1.83409,0.487571,0.525943,0.2,0.2,-1.02456,-0.75677,0.33548,0.38954,1,1,NA,0,1,1,1,NA,1,1
2,1,0,1.00171432214649,1.00172276680387,NA,1.01462340473001,1.00164305126291,1.00360367836192,1.00044945973668,NA,1.00638092497154,1.00153323260663,1529.53923126236,2138.32140489138,NA,815.756432307393,2776.54284701278,934.239082196192,1685.15534566635,NA,922.064994110884,2256.66121067108,1.71614680802551,0.524058989579198,0.2,-1.61891843264049,0.4959758935,1.73369866560869,0.503842957053371,0.2,-0.92672482405907,0.3550663605,1.6944712425,0.51567092325,0.2,-1.645488695,0.487842082,1.744832465,0.50087789,0.2,-0.91772159425,0.37148721525,1.64306,1.74671,0.498673,0.532453,0.2,0.2,-1.81812430536153,-1.49704573880942,0.460871,0.51393,1.67985,1.80929,0.48213,0.521925,0.2,0.2,-1.06493,-0.775188,0.34897,0.395903,1,1,NA,1,1,1,1,NA,1,1
21,3,0,1.00694995621521,1.00140692122236,NA,1.02051719096649,1.00208585136524,1.00266338492888,1.00312627939876,NA,1.0117440553195,1.00380391953075,921.388336412526,2072.51524082126,NA,568.945172320398,2731.99112495593,1152.01156470554,2038.85753617412,NA,701.416449961237,1952.99682266685,1.71614680802551,0.524058989579198,0.2,-1.61891843264049,0.4959758935,1.73369866560869,0.503842957053371,0.2,-0.92672482405907,0.3550663605,1.74247722,0.5252477155,0.2,-1.521985125,0.48970201825,1.7516552425,0.502784412,0.2,-0.90213348975,0.352764466,1.67655,1.808,0.509231,0.54129,0.2,0.2,-1.71779777826487,-1.32994543228255,0.463801,0.516134,1.69999,1.81066,0.48567,0.517401,0.2,0.2,-1.04046,-0.75482,0.331835,0.377453,1,1,NA,1,1,1,1,NA,1,1
12,2,0,1.00403313388517,1.00248118275973,NA,1.00170690614367,1.00337063841971,1.0056727183174,1.0032891263989,NA,1.00753177760946,1.00246982677298,1122.42798110636,1354.12126422552,NA,1661.05331210463,3865.23580553201,690.223876964376,1615.02100625612,NA,629.358654181029,2324.16261820424,1.71614680802551,0.524058989579198,0.2,-1.61891843264049,0.4959758935,1.73369866560869,0.503842957053371,0.2,-0.92672482405907,0.3550663605,1.6424526575,0.5310211025,0.2,-1.54783922,0.49211772525,1.71279313,0.50248000825,0.2,-0.92940881275,0.35039111125,1.58943,1.70167,0.511646,0.5508,0.2,0.2,-1.68437603103572,-1.4084224961538,0.469479,0.516848,1.63866,1.78539,0.483267,0.522203,0.2,0.2,-1.10839,-0.764615,0.326994,0.372563,0,1,NA,1,1,1,1,NA,1,1
22,3,0,1.00396558860958,1.00319421619901,NA,1.00151793316629,1.0009227402845,1.01005034298255,1.00161493760982,NA,1.00246128626945,1.00787602016529,1216.40501397164,2282.75794562131,NA,1307.49487656295,2997.23777128626,631.744856320002,2136.10718492305,NA,958.000856444996,1638.38670909367,1.71614680802551,0.524058989579198,0.2,-1.61891843264049,0.4959758935,1.73369866560869,0.503842957053371,0.2,-0.92672482405907,0.3550663605,1.6889884375,0.53368689775,0.2,-1.56555,0.504231471,1.74578354,0.49808232125,0.2,-0.82665621075,0.36602307525,1.63421,1.74451,0.51765,0.549438,0.2,0.2,-1.7016868401336,-1.42973031834335,0.47808,0.530168,1.67742,1.81082,0.48059,0.515337,0.2,0.2,-0.962571,-0.69185,0.338709,0.393009,1,1,NA,1,1,1,1,NA,1,1
3,1,0,1.00536515714271,1.00253011702209,NA,1.00487535371442,1.00260105656282,1.00496837879945,1.00274948404902,NA,1.00858966972036,1.00427481906472,814.475247465312,1621.82952033355,NA,1333.25087924503,3558.63868251117,1231.90208405525,1595.56405884634,NA,731.251419203793,2241.05588156325,1.71614680802551,0.524058989579198,0.2,-1.61891843264049,0.4959758935,1.73369866560869,0.503842957053371,0.2,-0.92672482405907,0.3550663605,1.7021424275,0.532409126,0.2,-1.66015929,0.4841419605,1.7094496275,0.50049039875,0.2,-0.783518323,0.360622231,1.64019,1.76276,0.515241,0.550148,0.2,0.2,-1.79761865889254,-1.52155339697356,0.459103,0.506238,1.65844,1.76127,0.482064,0.51972,0.2,0.2,-0.936969,-0.621317,0.339157,0.383421,1,1,NA,1,1,1,1,NA,1,1
31,4,0,1.00344203358088,1.00171466271664,NA,1.00214642686275,1.00148044079122,1.00316259901719,1.00115144364961,NA,1.00690605567725,1.00096250860133,1350.90790833227,1639.74495398193,NA,1542.75869878457,2157.74263429415,1354.54647923097,1523.47338809964,NA,1086.93843671145,2012.61105670254,1.71614680802551,0.524058989579198,0.2,-1.61891843264049,0.4959758935,1.73369866560869,0.503842957053371,0.2,-0.92672482405907,0.3550663605,1.7010194025,0.5175446735,0.2,-1.5625008625,0.48861999475,1.7525438025,0.5135201445,0.2,-0.875896986,0.3358108125,1.65292,1.75352,0.498539,0.536817,0.2,0.2,-1.70840419290739,-1.41919022639964,0.458384,0.518254,1.70266,1.79946,0.493738,0.533068,0.2,0.2,-1.01971,-0.741356,0.313258,0.359974,1,1,NA,1,1,1,1,NA,1,1
13,2,0,1.00497621888882,1.0002461900366,NA,1.00684621625108,1.00103806085783,1.00520711818981,1.0047129278725,NA,1.00679225709387,1.00273777006099,970.902499560438,2758.016813607,NA,1148.02096128219,2054.19760197008,758.444373220063,1374.30525832162,NA,912.912814840038,1785.86026096685,1.71614680802551,0.524058989579198,0.2,-1.61891843264049,0.4959758935,1.73369866560869,0.503842957053371,0.2,-0.92672482405907,0.3550663605,1.7393149775,0.52416222175,0.2,-1.8005826475,0.506789087,1.789154235,0.5168841905,0.2,-0.9769020905,0.352727719,1.67618,1.80756,0.510682,0.538899,0.2,0.2,-1.9672628515534,-1.64975587767761,0.477334,0.536873,1.71882,1.8606,0.497758,0.535843,0.2,0.2,-1.10178,-0.835259,0.331985,0.375905,1,1,NA,0,1,1,1,NA,1,1
41,5,0,1.00502084620505,1.00311295140197,NA,1.00663928005908,1.00295668846977,1.00441069097754,1.0007487626486,NA,1.00941902455776,1.00100664563323,1850.52072770875,2748.1027828858,NA,914.558791387045,3043.93675552514,948.186382865713,2274.88114694071,NA,883.012369716638,2259.52312244713,1.71614680802551,0.524058989579198,0.2,-1.61891843264049,0.4959758935,1.73369866560869,0.503842957053371,0.2,-0.92672482405907,0.3550663605,1.7696489125,0.508614153,0.2,-1.5306138725,0.48796305325,1.7385584775,0.51490975175,0.2,-0.94263430325,0.34681889625,1.71871,1.81852,0.492975,0.524325,0.2,0.2,-1.70763718753433,-1.35857212391289,0.464093,0.515418,1.67338,1.80506,0.498008,0.530117,0.2,0.2,-1.08107,-0.804734,0.326348,0.368595,0,1,NA,1,1,1,1,NA,1,1
23,3,0,1.00410319350254,1.00380522731446,NA,1.00276019907396,1.00261278522129,1.00263170108539,1.0065002104839,NA,1.00602319658557,1.00264735891528,1470.0913142618,1700.95158809729,NA,1206.99951707736,2464.82239179453,1020.2977392335,1259.40779470294,NA,1019.19154517716,1910.16504644696,1.71614680802551,0.524058989579198,0.2,-1.61891843264049,0.4959758935,1.73369866560869,0.503842957053371,0.2,-0.92672482405907,0.3550663605,1.6967556925,0.52287636325,0.2,-1.6034543975,0.49053233975,1.754035695,0.49478289775,0.2,-0.9759236195,0.360770819,1.64603,1.7462,0.504493,0.540827,0.2,0.2,-1.75918619993172,-1.43596936451925,0.4611,0.51911,1.6922,1.81883,0.475717,0.515689,0.2,0.2,-1.10732,-0.8404,0.335669,0.387211,1,1,NA,1,1,1,1,NA,1,1
14,2,0,1.00323171936726,1.00234849200015,NA,1.00125732043861,1.00154392813484,1.00485251709659,1.00135924504443,NA,1.00323886765981,1.0021406678661,1172.48105034868,1443.83308140464,NA,1449.22543652593,2474.30143123668,1099.30652246534,1559.74546438781,NA,1264.24898255716,2362.62019026693,1.71614680802551,0.524058989579198,0.2,-1.61891843264049,0.4959758935,1.73369866560869,0.503842957053371,0.2,-0.92672482405907,0.3550663605,1.6818914525,0.53125513,0.2,-1.649427165,0.4768129965,1.7178010975,0.50401363475,0.2,-0.94572027625,0.3609240165,1.62332,1.74211,0.510735,0.551983,0.2,0.2,-1.79268050231044,-1.50412733416485,0.449716,0.505337,1.66397,1.77122,0.482787,0.522793,0.2,0.2,-1.06903,-0.824803,0.338298,0.384876,1,1,NA,1,1,1,1,NA,1,1
32,4,0,1.00423654469789,1.00169419594255,NA,1.00574064998438,1.00027771426988,1.00329542721159,1.00384092933551,NA,1.00507278582636,1.00429457744276,1271.47258044354,2101.36968191171,NA,890.553023340454,3664.93606873677,1260.67798820872,1631.5169979203,NA,1124.89119257591,1624.9165898455,1.71614680802551,0.524058989579198,0.2,-1.61891843264049,0.4959758935,1.73369866560869,0.503842957053371,0.2,-0.92672482405907,0.3550663605,1.7442376425,0.5246328395,0.2,-1.7722767125,0.51614422925,1.7639077675,0.49277148475,0.2,-0.98064899975,0.3480226685,1.68983,1.80123,0.507347,0.541629,0.2,0.2,-1.92888635990449,-1.59996654872052,0.490913,0.541018,1.71279,1.81651,0.473128,0.511514,0.2,0.2,-1.10962,-0.844434,0.320564,0.374482,1,1,NA,1,1,1,1,NA,1,1
4,1,0,1.00926857285194,1.00019027497633,NA,1.00284749507921,1.00257678621877,1.00371861287707,1.00356718046147,NA,1.01059283578368,1.00051976229426,985.11789869132,2546.41939578564,NA,1545.9229687446,2642.49640804591,1152.99552184758,2155.83030982216,NA,620.936808227657,2756.83517397158,1.71614680802551,0.524058989579198,0.2,-1.61891843264049,0.4959758935,1.73369866560869,0.503842957053371,0.2,-0.92672482405907,0.3550663605,1.7375672725,0.532896944,0.2,-1.5722618925,0.48515109275,1.719997185,0.49965218175,0.2,-0.95985666975,0.36403931275,1.67133,1.80006,0.517676,0.547446,0.2,0.2,-1.69838405821173,-1.44635799058237,0.459365,0.511009,1.66671,1.77805,0.482382,0.516143,0.2,0.2,-1.12607,-0.788741,0.343057,0.385872,1,1,NA,1,1,1,1,NA,1,1
