sim,group,run,subj,alpha_sub_gen,beta_sub_gen,ndt_sub_gen,delta_sub_gen,b1_sub_gen,alpha_sub_sim_mean,beta_sub_sim_mean,ndt_sub_sim_mean,delta_sub_sim_mean,b1_sub_sim_mean,alpha_sub_sim_hdi_lo,alpha_sub_sim_hdi_hi,beta_sub_sim_hdi_lo,beta_sub_sim_hdi_hi,ndt_sub_sim_hdi_lo,ndt_sub_sim_hdi_hi,delta_sub_sim_hdi_lo,delta_sub_sim_hdi_hi,b1_sub_sim_hdi_lo,b1_sub_sim_hdi_hi,alpha_recover,beta_recover,ndt_recover,delta_recover,b1_recover
1,1,1,1,1.71044735103083,0.461316781634822,0.2,-1.44723396638053,0.471677517330515,1.682249945,0.456937992,0.2,-1.39400408694142,0.50928846375,1.5431,1.81073,0.406007,0.508108,0.2,0.2,-1.73858543665567,-1.01561911011119,0.436058,0.592945,1,1,NA,1,1
1,1,1,2,1.73103459351146,0.513055210109832,0.2,-1.52878687870142,0.4725548677197,1.73408367,0.5037736575,0.2,-1.60139021545907,0.4706479025,1.58867,1.8685,0.455028,0.557762,0.2,0.2,-1.95606604637206,-1.25371036215947,0.397794,0.541437,1,1,NA,1,1
1,1,1,3,1.84757930716947,0.600848485980954,0.2,-2.4719442041846,0.472202215802097,1.8167300875,0.58296044525,0.2,-2.60717975462613,0.47803670475,1.66709,1.97191,0.530676,0.643596,0.2,0.2,-2.97029567594834,-2.213729606722,0.393287,0.563235,1,1,NA,1,1
1,1,1,4,1.52426646069741,0.566592506230338,0.2,-1.14649629612857,0.532230727882414,1.61294035,0.56491894575,0.2,-1.11640748953679,0.51576926525,1.48176,1.73561,0.511128,0.614753,0.2,0.2,-1.50847296188633,-0.734011690937892,0.431807,0.602491,1,1,NA,1,1
1,1,1,5,1.88770101449266,0.470940397834455,0.2,-1.4774776720678,0.505083463560493,1.8715600225,0.49651643125,0.2,-1.59364719557447,0.49470312275,1.7296,2.01852,0.448097,0.551009,0.2,0.2,-1.92779709183991,-1.23623349020081,0.415248,0.57486,1,1,NA,1,1
1,1,1,6,1.62442415510419,0.445427518587876,0.2,-1.69520191036921,0.612597272672968,1.55207104,0.44485548475,0.2,-1.5069200529339,0.5238430395,1.43064,1.68227,0.395295,0.496426,0.2,0.2,-1.88016191701969,-1.11369419770267,0.443411,0.615604,1,1,NA,1,1
1,1,1,7,1.73707310162332,0.53390682014312,0.2,-1.3659575117814,0.556535674194943,1.72862568,0.514653318,0.2,-1.3455646000399,0.49683618725,1.60903,1.86759,0.469768,0.568053,0.2,0.2,-1.67869576614455,-1.01955907656367,0.424733,0.575012,1,1,NA,1,1
1,1,1,8,1.69424001747792,0.495015238718408,0.2,-1.26101893402702,0.465450726493944,1.6596300175,0.5078973265,0.2,-1.5423377640279,0.5116625245,1.53966,1.78928,0.459207,0.556354,0.2,0.2,-1.89267807728961,-1.17464738703764,0.432119,0.594197,1,1,NA,1,1
1,1,1,9,1.74600470193438,0.601302509244177,0.2,-1.54537823037658,0.541592731991768,1.8029312225,0.5617437,0.2,-1.31475332864899,0.53404392,1.66856,1.94723,0.510402,0.61143,0.2,0.2,-1.64361116709412,-0.956591212172389,0.450928,0.616808,1,1,NA,1,1
1,1,1,10,1.94289023716194,0.486701311991658,0.2,-1.479019426432,0.455819453176996,1.90448021,0.527233276,0.2,-1.46935303248111,0.4585348015,1.76067,2.05088,0.4748,0.577414,0.2,0.2,-1.77631188481452,-1.13296394199994,0.383889,0.530398,1,1,NA,1,1
1,1,1,11,1.6548519118749,0.545635350325319,0.2,-1.46606147007049,0.529567894540168,1.7705744775,0.503792703,0.2,-1.32144973663469,0.54722793125,1.62343,1.9143,0.45245,0.55818,0.2,0.2,-1.66878873422079,-0.924698579259495,0.461123,0.63257,1,1,NA,1,1
1,1,1,12,1.33070921577835,0.521426969282599,0.2,-1.11009205551526,0.41167925183639,1.4435993275,0.53729280175,0.2,-1.40068625565948,0.45043285575,1.32864,1.56446,0.486673,0.587819,0.2,0.2,-1.81163564800019,-1.01490895694693,0.367449,0.531974,1,1,NA,1,1
1,1,1,13,1.67583785680498,0.556411248584472,0.2,-1.72459853811956,0.50327143995942,1.6465025125,0.533057101,0.2,-1.6082146771977,0.49527410125,1.51895,1.76379,0.48341,0.583147,0.2,0.2,-1.96962434348336,-1.24801905593439,0.413195,0.570625,1,1,NA,1,1
1,1,1,14,1.69999376438257,0.481057560158522,0.2,-2.02347885894552,0.488413472199743,1.69899774,0.49438715525,0.2,-2.12646184245325,0.487274095,1.55823,1.84143,0.443857,0.549204,0.2,0.2,-2.50473010918013,-1.77527872854561,0.40579,0.564607,1,1,NA,1,1
1,1,1,15,1.79238061241785,0.573187831818446,0.2,-1.17841508409232,0.53900178355581,1.655589305,0.56579116025,0.2,-1.0228102621556,0.45422210525,1.53657,1.76888,0.517073,0.615483,0.2,0.2,-1.3592068351193,-0.695328648324667,0.376818,0.525592,0,1,NA,1,0
