"sim","run","divergences","alpha_rhat1","beta_rhat1","ndt_rhat1","delta_female_rhat1","delta_male_rhat1","alpha_rhat2","beta_rhat2","ndt_rhat2","delta_female_rhat2","delta_male_rhat2","alpha_ess1","beta_ess1","ndt_ess1","delta_female_ess1","delta_male_ess1","alpha_ess2","beta_ess2","ndt_ess2","delta_female_ess2","delta_male_ess2","alpha_grp_gen1","beta_grp_gen1","ndt_grp_gen1","delta_female_grp_gen1","delta_male_grp_gen1","alpha_grp_gen2","beta_grp_gen2","ndt_grp_gen2","delta_female_grp_gen2","delta_male_grp_gen2","alpha_grp_sim_mean1","beta_grp_sim_mean1","ndt_grp_sim_mean1","delta_female_grp_sim_mean1","delta_male_grp_sim_mean1","alpha_grp_sim_mean2","beta_grp_sim_mean2","ndt_grp_sim_mean2","delta_female_grp_sim_mean2","delta_male_grp_sim_mean2","alpha_grp_sim_hdi_lo1","alpha_grp_sim_hdi_hi1","beta_grp_sim_hdi_lo1","beta_grp_sim_hdi_hi1","ndt_grp_sim_hdi_lo1","ndt_grp_sim_hdi_hi1","delta_female_grp_sim_hdi_lo1","delta_female_grp_sim_hdi_hi1","delta_male_grp_sim_hdi_lo1","delta_male_grp_sim_hdi_hi1","alpha_grp_sim_hdi_lo2","alpha_grp_sim_hdi_hi2","beta_grp_sim_hdi_lo2","beta_grp_sim_hdi_hi2","ndt_grp_sim_hdi_lo2","ndt_grp_sim_hdi_hi2","delta_female_grp_sim_hdi_lo2","delta_female_grp_sim_hdi_hi2","delta_male_grp_sim_hdi_lo2","delta_male_grp_sim_hdi_hi2","alpha_recover1","beta_recover1","ndt_recover1","delta_female_recover1","delta_male_recover1","alpha_recover2","beta_recover2","ndt_recover2","delta_female_recover2","delta_male_recover2"
11,2,0,1.00080446626008,1.00289214908683,NA,1.00169615343076,1.00003975512608,1.00075569830822,1.00436091362988,NA,1.00272475078676,1.00231171932522,2638.40145195942,2686.3187176528,NA,2618.61726451053,2089.48569561205,2464.77825851711,1329.10574079433,NA,2172.03407035742,2127.9859292924,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.217456595,0.486737717,0.2,3.1143163975,-2.8669235225,2.0576481425,0.5227586305,0.2,2.3879899325,-2.3406047525,2.15354,2.28553,0.471161,0.502372,0.2,0.2,2.94126,3.27453,-3.058,-2.70496,2.00049,2.11406,0.502793,0.544546,0.2,0.2,2.24066,2.54045,-2.49043,-2.19405,1,1,NA,1,1,0,1,NA,1,1
21,3,0,1.00449748608727,1.0022014323116,NA,1.00002614030944,1.00208766798654,1.00232733320968,1.00169284255379,NA,1.00223459774731,1.00312437531037,1528.03857289989,2133.74241471477,NA,2480.20867092315,2210.56029765637,1926.57982951582,1938.94538994487,NA,2783.07518962823,2637.26483176888,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.2386508125,0.489681001,0.2,2.942354605,-2.72598753,2.1682617525,0.5086373465,0.2,2.39987931,-2.4683292475,2.14421,2.32388,0.472271,0.50745,0.2,0.2,2.77645,3.11212,-2.88529,-2.56213,2.09179,2.24617,0.492112,0.525183,0.2,0.2,2.26416,2.54703,-2.6147,-2.33096,1,1,NA,1,1,1,1,NA,1,0
1,1,0,1.0014711500013,1.00436568373426,NA,1.00120775905641,1.00054882445756,1.00317308607535,1.00046619293388,NA,1.0010995595724,1.00228815751323,2206.06524727868,1553.44468417764,NA,2826.83278925658,2864.39154092566,1668.30678461291,2152.23414838195,NA,1835.09702438618,1884.20718575001,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.2418553275,0.48081451975,0.2,3.19130428,-2.79705988,2.12132619,0.4983028725,0.2,2.3985693625,-2.39318941,2.16431,2.31379,0.461565,0.500495,0.2,0.2,3.04467,3.35254,-2.96008,-2.64035,2.04525,2.19935,0.481172,0.516559,0.2,0.2,2.23828,2.56054,-2.54476,-2.22784,1,1,NA,0,1,1,1,NA,1,1
31,4,0,1.00159413443631,1.00276299961104,NA,1.00309609079501,1.0011170010671,1.00513398576181,1.00540951949808,NA,1.00234629975595,1.00211936784119,1885.08504927528,1705.14495213055,NA,2343.93075310759,2383.89969242326,1280.85783270641,1167.08216726777,NA,1656.12280817327,1484.64724793449,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.2592905775,0.466368049,0.2,3.001590445,-2.7558797375,2.121297815,0.5200084575,0.2,2.3347997575,-2.277019965,2.19199,2.33271,0.450081,0.485329,0.2,0.2,2.84389,3.15441,-2.89749,-2.59563,2.04623,2.21007,0.499333,0.542553,0.2,0.2,2.17033,2.50377,-2.44039,-2.11123,1,1,NA,1,1,1,1,NA,1,1
12,2,0,1.00043732407949,1.00149778239363,NA,1.00047214990386,1.00180650776087,1.00397134583354,1.00468275089473,NA,1.00218410260241,1.00063904066229,3109.66563661148,1714.01599149329,NA,2974.33027105388,2499.90476983146,1789.43491054317,1633.73992848098,NA,2648.21975203909,2173.08907392043,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.2190294775,0.48427513025,0.2,2.935611245,-2.622526905,2.0544062025,0.5203276485,0.2,2.3259583825,-2.272603265,2.15435,2.27912,0.466797,0.503042,0.2,0.2,2.78647,3.0816,-2.76835,-2.4708,1.9889,2.11877,0.501751,0.539626,0.2,0.2,2.18833,2.48125,-2.4277,-2.13188,1,1,NA,1,1,0,1,NA,1,1
22,3,0,1.00237774235041,1.00334174063845,NA,1.00476286362491,1.0009076302917,1.00198882379864,1.00221412151204,NA,1.00459139830591,1.00362463850589,2428.92149140808,1958.26758184293,NA,2358.54523600855,2154.04675389526,2883.61930056948,2000.54819955041,NA,1539.98844761475,1833.30592717639,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.25401555,0.4775031025,0.2,3.020106305,-2.79162419,2.0940585,0.51981929425,0.2,2.284816575,-2.4044181175,2.18666,2.31932,0.460283,0.494805,0.2,0.2,2.85589,3.19175,-2.9622,-2.62282,2.03859,2.15205,0.503359,0.537524,0.2,0.2,2.12335,2.45545,-2.5669,-2.23144,1,1,NA,1,1,1,1,NA,1,1
41,5,0,1.00153166810835,1.00455120106187,NA,1.00002512080871,1.00080969458007,1.00019078406432,1.00235501853102,NA,1.00077071640629,1.00171098409614,2698.1467620006,1334.50080559614,NA,3058.6754863893,2581.64977033028,2433.42576474862,2012.60938093932,NA,2720.16478850426,2592.94977514276,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.215969395,0.503911666,0.2,2.96776505,-2.727810625,2.13950452,0.507876105,0.2,2.25170175,-2.1845177825,2.15421,2.28676,0.483754,0.524666,0.2,0.2,2.81276,3.12389,-2.88312,-2.57078,2.07976,2.20668,0.49093,0.524623,0.2,0.2,2.12897,2.38414,-2.31494,-2.05982,1,1,NA,1,1,1,1,NA,1,0
2,1,0,1.00570399872511,1.00165577683451,NA,1.00117231868183,1.00353779114665,1.00232852282383,1.00103093995529,NA,1.00359449087526,1.001165055064,1099.15473625468,2193.80199120415,NA,3875.38950628258,2937.96033799567,1908.07643164195,2170.99986388699,NA,2258.94634923981,2075.12348037745,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.2324790575,0.5014841345,0.2,2.892813935,-2.7254336075,2.16680123,0.5103498705,0.2,2.21108767,-2.2722891575,2.13679,2.32008,0.485796,0.518034,0.2,0.2,2.7548,3.02269,-2.86453,-2.59778,2.09664,2.23885,0.493726,0.527845,0.2,0.2,2.07561,2.3496,-2.41535,-2.13387,1,0,NA,1,1,1,1,NA,1,1
32,4,0,1.00373896945988,1.00161208687837,NA,1.00162025644053,1.00160340844261,1.00274573891356,1.00179819189569,NA,1.00196163214819,1.00327432968406,1722.00957987682,3273.15266096461,NA,2076.75586968182,2389.23815234145,2009.7578084748,1693.80158508144,NA,1759.2047252125,1809.76853883138,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.28391522,0.4732753335,0.2,2.8858802075,-2.83010805,2.09320373,0.50481366175,0.2,2.343597385,-2.2858770925,2.21153,2.36529,0.458974,0.486768,0.2,0.2,2.73029,3.05139,-2.97453,-2.66292,2.02068,2.15686,0.484677,0.522436,0.2,0.2,2.18853,2.50128,-2.43717,-2.13683,1,1,NA,1,1,1,1,NA,1,1
13,2,0,1.00285623542048,1.00251125097231,NA,1.00284226054918,1.00182628322334,1.00424508365898,1.00235733948763,NA,1.00691255147188,1.00166534364832,1866.63302184801,2410.84381713551,NA,3095.97201344514,2852.20298415468,1371.89681866897,1983.70987410501,NA,2103.7846939578,2163.50057011357,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.1533791175,0.48805371475,0.2,2.9399672425,-2.6621112575,2.14541196,0.504683313,0.2,2.304490525,-2.256075675,2.08217,2.22553,0.47221,0.504228,0.2,0.2,2.78832,3.07924,-2.80943,-2.50991,2.06703,2.22348,0.486762,0.522635,0.2,0.2,2.15586,2.45781,-2.41432,-2.10727,1,1,NA,1,1,1,1,NA,1,1
