"sim","group","run","subj","alpha_sub_gen","beta_sub_gen","ndt_sub_gen","delta_female_sub_gen","delta_male_sub_gen","alpha_sub_sim_mean","beta_sub_sim_mean","ndt_sub_sim_mean","delta_female_sub_sim_mean","delta_male_sub_sim_mean","alpha_sub_sim_hdi_lo","alpha_sub_sim_hdi_hi","beta_sub_sim_hdi_lo","beta_sub_sim_hdi_hi","ndt_sub_sim_hdi_lo","ndt_sub_sim_hdi_hi","delta_female_sub_sim_hdi_lo","delta_female_sub_sim_hdi_hi","delta_male_sub_sim_hdi_lo","delta_male_sub_sim_hdi_hi","alpha_recover","beta_recover","ndt_recover","delta_female_recover","delta_male_recover"
11,NA,2,1,2.32325224364594,0.485671413460193,0.2,2.38171959302562,-2.90779370168691,2.3310992725,0.47454336775,0.2,2.69467306548966,-2.66480978777201,2.14185,2.52924,0.430844,0.51542,0.2,0.2,2.2655403079591,3.13447151505235,-3.11325127774574,-2.24528948413202,1,1,NA,1,1
11,NA,2,2,2.21195327944687,0.428149811565895,0.2,2.68293797234948,-2.59008943590526,2.31281721,0.44813311,0.2,2.75818675245587,-3.00350330778464,2.12937,2.52014,0.402596,0.49281,0.2,0.2,2.29595802922513,3.19897885162414,-3.52404084800844,-2.57563032317727,1,1,NA,1,1
11,NA,2,3,2.32409389390905,0.475866793453824,0.2,3.01448003659704,-2.63190081757355,2.3066679925,0.47708890875,0.2,2.96197546300152,-2.90372585393867,2.12483,2.49437,0.438046,0.51825,0.2,0.2,2.50920729297443,3.39103979765169,-3.32909096847143,-2.45622653263263,1,1,NA,1,1
11,NA,2,4,2.39546247185918,0.533653482754912,0.2,3.34852787480821,-2.13661667081296,2.2691579225,0.521082807,0.2,3.28636183200345,-2.21482691321331,2.09067,2.45147,0.477367,0.565392,0.2,0.2,2.83831842261925,3.72850600096638,-2.62978390881928,-1.8037833052362,1,1,NA,1,1
11,NA,2,5,2.26370561922737,0.433108275029365,0.2,2.96704389082792,-2.61479463753234,2.21375879,0.46144976875,0.2,2.89465743201467,-2.88925151421233,2.03091,2.38466,0.418042,0.501084,0.2,0.2,2.45421854180363,3.33780536908688,-3.33290463824084,-2.41812066979269,1,1,NA,1,1
11,NA,2,6,2.14125487824016,0.484655835298516,0.2,2.74379123453603,-3.04709422244027,2.260771315,0.47999955075,0.2,3.13009766942903,-3.13018941211344,2.08264,2.44948,0.438145,0.519578,0.2,0.2,2.6639039137075,3.55857187324846,-3.59810869782556,-2.69907118988327,1,1,NA,1,1
11,NA,2,7,2.02641874082831,0.463885712129176,0.2,2.9949323475433,-2.643914161942,2.1082975475,0.46628759375,0.2,3.00337708823982,-2.81441812980822,1.92781,2.27717,0.423416,0.507129,0.2,0.2,2.56691950422405,3.44118584974845,-3.25273546520696,-2.30569734550523,1,1,NA,1,1
11,NA,2,8,2.25005869295412,0.473927084891171,0.2,3.30318942887475,-2.74573105166629,2.2151943575,0.481579045,0.2,3.12139983682129,-2.98332393203832,2.02218,2.38842,0.441449,0.522322,0.2,0.2,2.66755947206153,3.56505461491744,-3.44214237989945,-2.5216010728763,1,1,NA,1,1
11,NA,2,9,2.4012181661952,0.439746464333957,0.2,2.89345250896918,-2.80070644324732,2.2946410325,0.4706581535,0.2,2.80436210943098,-2.91096392136125,2.10469,2.48155,0.425058,0.509916,0.2,0.2,2.38871440454941,3.27589120013723,-3.35781012116728,-2.45260770027719,1,1,NA,1,1
11,NA,2,10,2.14917671063284,0.51278750480727,0.2,2.8006219725087,-2.95697062505676,2.1431977325,0.49200471425,0.2,3.03293954515728,-3.08246852621786,1.97564,2.31691,0.451768,0.532094,0.2,0.2,2.58416198899491,3.49081026174458,-3.53159333422957,-2.60663349285856,1,1,NA,1,1
11,NA,2,11,2.10632072545927,0.486866269992816,0.2,3.38750408308082,-3.31916744499993,2.0604638025,0.47073093575,0.2,3.21704668522278,-3.20214260056005,1.87831,2.227,0.433432,0.511082,0.2,0.2,2.77368779318028,3.67115719185394,-3.64181383815922,-2.72121286052085,1,1,NA,1,1
11,NA,2,12,2.04799729126797,0.49663844496707,0.2,3.0741575567779,-2.8790068977825,2.110280155,0.50250300925,0.2,3.23990959158455,-2.99223181545786,1.93289,2.28851,0.463581,0.545143,0.2,0.2,2.7740514749954,3.70778741842287,-3.44175981429105,-2.51663548217224,1,1,NA,1,1
11,NA,2,13,2.23256495395386,0.493610567955503,0.2,2.48042173372339,-2.74894583775962,2.3785712025,0.4920713205,0.2,2.7609109210136,-2.79982630746303,2.17076,2.58623,0.449555,0.536562,0.2,0.2,2.35069429877713,3.22802473362776,-3.27000170787008,-2.35814286423856,1,1,NA,1,1
11,NA,2,14,2.62262195162996,0.53014781219163,0.2,3.43197109907109,-2.59232581859717,2.46271238,0.48939594625,0.2,3.24367890662627,-2.01795197118292,2.24651,2.71625,0.447831,0.534414,0.2,0.2,2.78491941584974,3.71682407639998,-2.41913539668882,-1.63618865183601,1,1,NA,1,0
11,NA,2,15,2.23565579974228,0.487585823135965,0.2,2.87715265552063,-2.83700858930011,2.2922928875,0.49632561875,0.2,3.06845435338199,-2.80831692120155,2.10428,2.47057,0.456588,0.540369,0.2,0.2,2.63367555457341,3.52348720727977,-3.23519177495002,-2.3665929895079,1,1,NA,1,1
11,NA,2,16,2.11641853489905,0.493006114771086,0.2,3.13428065301679,-3.15502723699941,2.0734608625,0.4731416215,0.2,3.06418360138875,-3.0156668995793,1.89827,2.24804,0.432151,0.513416,0.2,0.2,2.6061833840002,3.53678207044304,-3.49940912258087,-2.5578717121784,1,1,NA,1,1
11,NA,2,17,2.24596755134286,0.487935985470345,0.2,3.12785989341721,-2.81690540335326,2.2850832475,0.492696763,0.2,3.1522751257771,-2.82520614413359,2.11001,2.47934,0.450011,0.534813,0.2,0.2,2.70407946093108,3.60271511177644,-3.27368158540841,-2.37410999652355,1,1,NA,1,1
11,NA,2,18,2.14563508328409,0.514964213748588,0.2,2.42419678784588,-2.3067167411011,2.150114215,0.51136297675,0.2,2.72853331712771,-2.35816911278717,1.97859,2.32988,0.466459,0.553859,0.2,0.2,2.29643780275656,3.18024431723461,-2.79180364100455,-1.94857612003409,1,1,NA,1,1
11,NA,2,19,1.9956381907748,0.534597386404576,0.2,3.21608787097573,-3.20209776547724,2.0793653925,0.51919855225,0.2,3.57049894791686,-3.34720437631721,1.90282,2.25236,0.480138,0.557469,0.2,0.2,3.12730431208695,4.02670642890008,-3.8009263512465,-2.86271857215571,1,1,NA,1,1
